location_name,year,age_group,sex_name,val_total,val_hbm,percent_hbm,percent_hbm_2015,percent_change_from_2015
Netherlands,2017,Under 40,Female,8.697590609898011,2.577017423471128,29.62909544786389,30.47972035959377,-2.7907897503467045
Netherlands,2017,Under 40,Male,30.10509922866721,5.942566803237851,19.739402810468448,19.212195164305523,2.7441301821794295
Netherlands,2018,40 and above,Female,8016.747884174166,943.4484543920688,11.76846856135425,11.556421086542498,1.834888788006201
Netherlands,2018,40 and above,Male,13489.057372639552,1668.9309513505882,12.372480190763769,12.301107873343735,0.5802104831118181
Netherlands,2018,Under 40,Female,7.911931317513585,2.394049212242378,30.25872086304631,30.47972035959377,-0.7250706172502609
Netherlands,2018,Under 40,Male,31.611143276779615,6.274210373663021,19.848096978737953,19.212195164305523,3.309886293544822
Netherlands,2019,40 and above,Female,7846.506486555838,931.92935270338,11.87699716173233,11.556421086542498,2.7740082573067917
Netherlands,2019,40 and above,Male,13331.831537641368,1648.7339602273644,12.3668976432255,12.301107873343735,0.5348280054053455
Netherlands,2019,Under 40,Female,7.683711242940946,2.3462202850833407,30.53498772795271,30.47972035959377,0.1813250505808676
Netherlands,2019,Under 40,Male,31.346105719086864,6.275093740085914,20.018734691706747,19.212195164305523,4.19806024508693
Netherlands,2020,40 and above,Female,7875.046265357004,933.0313395779688,11.847947404226089,11.556421086542498,2.5226349533340766
Netherlands,2020,40 and above,Male,13079.265461444546,1592.8109450877887,12.178137600946512,12.301107873343735,-0.9996682710481524
Netherlands,2020,Under 40,Female,7.573063832329057,2.332880297711091,30.804973381475193,30.47972035959377,1.0671128804469052
Netherlands,2020,Under 40,Male,28.873583547633775,5.862048867655585,20.30246386973323,19.212195164305523,5.674878357749173
Netherlands,2021,40 and above,Female,7862.114482966496,942.7932829614668,11.99159952458154,11.556421086542498,3.7656851959626945
Netherlands,2021,40 and above,Male,13338.43104663294,1629.387843819887,12.215738403739756,12.301107873343735,-0.6939982193715482
Netherlands,2021,Under 40,Female,7.611912149043128,2.3504251885783445,30.878249020173065,30.47972035959377,1.307520724854205
Netherlands,2021,Under 40,Male,27.626425158805212,5.678356832360729,20.554077480961737,19.212195164305523,6.984534069013139
Nigeria,2015,40 and above,Female,56655.669718739846,6665.988324579365,11.765792122256872,11.765792122256872,0.0
Nigeria,2015,40 and above,Male,68456.64982100572,6844.756759422942,9.998673287869032,9.998673287869032,0.0
Nigeria,2015,Under 40,Female,413.9583666983837,67.6189863150407,16.334731160128698,16.334731160128698,0.0
Nigeria,2015,Under 40,Male,978.7485048868429,144.5249800628297,14.766304044524578,14.766304044524578,0.0
Nigeria,2016,40 and above,Female,57222.78653434645,6886.805265138479,12.035074980147735,11.765792122256872,2.2886929761530577
Nigeria,2016,40 and above,Male,68636.876503862,7018.523382395516,10.225586798083103,9.998673287869032,2.2694361909932206
Nigeria,2016,Under 40,Female,405.5163021729152,67.48521651690068,16.641801120026113,16.334731160128698,1.8798592819632045
Nigeria,2016,Under 40,Male,993.8297664228588,148.72895039833222,14.965234029330771,14.766304044524578,1.3471887359650967
Nigeria,2017,40 and above,Female,59117.969500358406,7292.71988045694,12.335876793624868,11.765792122256872,4.845272340734199
Nigeria,2017,40 and above,Male,69124.67590761746,7226.009626581201,10.453589158578469,9.998673287869032,4.5497623295819345
Nigeria,2017,Under 40,Female,407.5635031799244,69.40401537961341,17.029006483187008,16.334731160128698,4.250301497174074
Nigeria,2017,Under 40,Male,1009.9995413716558,153.89954115653222,15.23758525152645,14.766304044524578,3.191598964648343
Nigeria,2018,40 and above,Female,61552.10392221623,7746.878665498889,12.585887681903882,11.765792122256872,6.970168698592492
Nigeria,2018,40 and above,Male,70291.27157795797,7513.287336895814,10.6887913224945,9.998673287869032,6.90209605571131
Nigeria,2018,Under 40,Female,412.4279047158149,71.50503887950164,17.337585081390763,16.334731160128698,6.139396549787873
Nigeria,2018,Under 40,Male,1028.506442018691,159.75413031040415,15.532632930995383,14.766304044524578,5.189713581408779
Nigeria,2019,40 and above,Female,63934.423275020454,8208.979254682936,12.839686094251876,11.765792122256872,9.127256038831094
Nigeria,2019,40 and above,Male,71306.23947722519,7782.873954302067,10.914716596137248,9.998673287869032,9.161648569711875
Nigeria,2019,Under 40,Female,420.21751118446736,74.03405210644888,17.618031170992626,16.334731160128698,7.856266493055758
Nigeria,2019,Under 40,Male,1040.1280297624908,164.19711516523913,15.786240776794845,14.766304044524578,6.907190378816999
Nigeria,2020,40 and above,Female,66244.02786641863,8686.122549161753,13.112310390722854,11.765792122256872,11.4443486207684
Nigeria,2020,40 and above,Male,71877.68704812294,7989.601955933794,11.11555238357164,9.998673287869032,11.170272930686412
Nigeria,2020,Under 40,Female,428.0089547341481,76.80838522767937,17.9455089380987,16.334731160128698,9.861060841342386
Nigeria,2020,Under 40,Male,1050.7318217503118,168.48930559237633,16.03542427331328,14.766304044524578,8.594704707162638
Nigeria,2021,40 and above,Female,69276.38984961803,9285.60851745336,13.40371306531724,11.765792122256872,13.92104268068767
Nigeria,2021,40 and above,Male,72814.77352166237,8353.925858586543,11.472844664003867,9.998673287869032,14.743669821909124
Nigeria,2021,Under 40,Female,442.913618816986,80.80657815464795,18.244320048338277,16.334731160128698,11.69036006463748
Nigeria,2021,Under 40,Male,1080.699676063331,177.1442372074249,16.391624901074174,14.766304044524578,11.006957811845092
United States of America,2015,40 and above,Female,300340.681723761,53251.35048507755,17.730315513519272,17.730315513519272,0.0
United States of America,2015,40 and above,Male,461939.2555927939,96997.10621540864,20.99780545624661,20.99780545624661,0.0
United States of America,2015,Under 40,Female,755.927203249495,245.97208227847244,32.53912297653997,32.53912297653997,0.0
United States of America,2015,Under 40,Male,2069.622870734254,669.756270706178,32.36127123337037,32.36127123337037,0.0
United States of America,2016,40 and above,Female,302201.27046492905,54276.83252005616,17.960491177470107,17.730315513519272,1.2982039929031552
United States of America,2016,40 and above,Male,474470.89789281826,100160.97153796857,21.110034774059983,20.99780545624661,0.5344811773174426
United States of America,2016,Under 40,Female,754.9418467051701,247.0258875531265,32.72118092687983,32.53912297653997,0.5595047858884227
United States of America,2016,Under 40,Male,2150.663015139796,697.2378792110743,32.41967125034477,32.36127123337037,0.1804626788399522
United States of America,2017,40 and above,Female,301222.9901667562,54611.71743869789,18.12999645494024,17.730315513519272,2.2542235140497824
United States of America,2017,40 and above,Male,480520.5985798344,101714.67123358234,21.1675985450358,20.99780545624661,0.8086230208342076
United States of America,2017,Under 40,Female,752.0005020504002,247.78384754793987,32.949957729061865,32.53912297653997,1.2625870488829598
United States of America,2017,Under 40,Male,2167.378823852752,705.2818642356139,32.540774897020476,32.36127123337037,0.5546866881576905
United States of America,2018,40 and above,Female,297663.0927198546,54347.30343053762,18.257991924341976,17.730315513519272,2.976125328510668
United States of America,2018,40 and above,Male,481205.92909517745,102053.44518365109,21.207852815850483,20.99780545624661,1.000330058498501
United States of America,2018,Under 40,Female,731.0582824079867,242.65628824838117,33.19246824604886,32.53912297653997,2.0078760880554096
United States of America,2018,Under 40,Male,2114.867322523841,690.7317473101664,32.66076032069287,32.36127123337037,0.925455261515432
United States of America,2019,40 and above,Female,294242.1928317409,54057.30740369784,18.37170491541637,17.730315513519272,3.617473143148756
United States of America,2019,40 and above,Male,482249.4649151886,102344.17517723556,21.22224753432011,20.99780545624661,1.0688835009028634
United States of America,2019,Under 40,Female,711.8505552105507,237.65319888122397,33.385265649042175,32.53912297653997,2.6003856130733913
United States of America,2019,Under 40,Male,2041.582014870872,668.5456518533322,32.746450888754374,32.36127123337037,1.1902488397514404
United States of America,2020,40 and above,Female,295588.7589589977,54583.383608185315,18.46598761076594,17.730315513519272,4.149232971549326
United States of America,2020,40 and above,Male,482807.2088416576,102492.20245305328,21.22839107952649,20.99780545624661,1.0981415356016753
United States of America,2020,Under 40,Female,699.8443989172887,235.1784541658552,33.604391851916475,32.53912297653997,3.2738094267154647
United States of America,2020,Under 40,Male,2059.483109889637,675.4508356064797,32.79710488340327,32.36127123337037,1.3467754306990285
United States of America,2021,40 and above,Female,301860.6854747615,55991.84766111083,18.548903635148037,17.730315513519272,4.616884121461882
United States of America,2021,40 and above,Male,500684.1445689965,106366.91100820078,21.244313837771823,20.99780545624661,1.1739721183666845
United States of America,2021,Under 40,Female,665.9851241699315,225.0811440354887,33.796722459232804,32.53912297653997,3.864884384251952
United States of America,2021,Under 40,Male,1939.62068348935,638.1555273035573,32.90104775308565,32.36127123337037,1.667970691950674
