location_name,year,age_group,sex_name,val_total,val_hbm,percent_hbm,percent_change_from_2015
Japan,2018,Under 40,Female,25.908560702954187,0.5301547558522022,2.0462532131001474,-18.33492806522166
Japan,2018,Under 40,Male,38.60250214890092,0.8226725367403076,2.131137856212076,-35.981618481675156
Japan,2019,40 and above,Female,21900.441183660336,181.74193387493105,0.8298551264370261,0.4134291985530746
Japan,2019,40 and above,Male,49465.01517593569,113.96103153276096,0.2303871354884412,-14.833042873572506
Japan,2019,Under 40,Female,24.126111845360168,0.4558219900086701,1.889330501865894,-24.59764492699773
Japan,2019,Under 40,Male,38.62908190187459,0.9284898623548652,2.403603235286333,-27.796886303385243
Japan,2020,40 and above,Female,21418.003340380776,179.36723049446942,0.837460092072619,1.333638828016614
Japan,2020,40 and above,Male,49399.08417096018,113.4302853487869,0.229620219185092,-15.116547973752786
Japan,2020,Under 40,Female,23.458679482102568,0.4510691657711921,1.9228241986737928,-23.260926117386337
Japan,2020,Under 40,Male,37.58657175816026,0.9184572939099036,2.4435782540090294,-26.596055492589915
Japan,2021,40 and above,Female,22426.151020496865,190.76044787066405,0.8506160851958698,2.92552919771291
Japan,2021,40 and above,Male,51427.34484956272,117.68404347372034,0.2288355422936461,-15.406618610857542
Japan,2021,Under 40,Female,22.556458578957745,0.4374556030669534,1.9393806946053267,-22.6001635966091
Japan,2021,Under 40,Male,35.96621887519854,0.8910188514288349,2.477377047947791,-25.580755577136888
Netherlands,2015,40 and above,Female,7683.396466841097,32.73069990847114,0.4259925938967955,0.0
Netherlands,2015,40 and above,Male,8283.32473379726,12.031234273060685,0.1452464398017787,0.0
Netherlands,2015,Under 40,Female,9.288232862192174,0.4773285012283057,5.139066906593989,0.0
Netherlands,2015,Under 40,Male,8.680382629820036,0.1863532496686689,2.1468322033234197,0.0
Netherlands,2016,40 and above,Female,7914.71698295948,36.38557071732886,0.4597204270938255,7.917469383329507
Netherlands,2016,40 and above,Male,8392.540615954404,13.084395983061263,0.1559050659604499,7.33830458992129
Netherlands,2016,Under 40,Female,9.813287337123365,0.5711000512340964,5.819660951673578,13.243533455583387
Netherlands,2016,Under 40,Male,7.894318952627056,0.1436623028498267,1.8198188306290697,-15.232367587374295
Netherlands,2017,40 and above,Female,8233.733497317326,39.384429381220095,0.4783301450557288,12.28602372641554
Netherlands,2017,40 and above,Male,8548.47854529885,13.880082431600398,0.1623690386312498,11.78865303193573
Netherlands,2017,Under 40,Female,9.629214435926754,0.5614918960161863,5.831128798225232,13.466683820427628
Netherlands,2017,Under 40,Male,8.235163069542416,0.1341654654584375,1.6291780056504983,-24.112466585491077
Netherlands,2018,40 and above,Female,8415.316869545291,39.60322289437736,0.4706088137655268,10.473473132619864
Netherlands,2018,40 and above,Male,8633.625761796522,14.22978482814174,0.1648181797629915,13.474850046529768
Netherlands,2018,Under 40,Female,9.844585162258554,0.5794332597977115,5.885806768365417,14.530650706517923
Netherlands,2018,Under 40,Male,8.30496206870307,0.1329191256370854,1.6004784192571575,-25.449300752079047
Netherlands,2019,40 and above,Female,8490.535268170503,39.937297388525465,0.4703743183099803,10.418426294034836
Netherlands,2019,40 and above,Male,8702.62656723386,14.267274532249912,0.1639421664485459,12.871727990222478
Netherlands,2019,Under 40,Female,9.86257229884511,0.5794276517340681,5.875015504848751,14.320665825744722
Netherlands,2019,Under 40,Male,8.294920415819998,0.133195575062744,1.605748679742781,-25.203810653809384
Netherlands,2020,40 and above,Female,8446.955046732108,39.57095320207392,0.4684641149757607,9.970013959739093
Netherlands,2020,40 and above,Male,8710.15187450514,14.012011343974562,0.1608698854607589,10.756508510846723
Netherlands,2020,Under 40,Female,9.600612809148837,0.5683042510543546,5.91945808410056,15.185464437235547
Netherlands,2020,Under 40,Male,7.729047714388159,0.1252676125026292,1.6207379890983833,-24.50560474221564
