location_name,year,age_group,sex_name,val_total,val_hbm,percent_hbm,percent_change_from_2015
Netherlands,2017,40 and above,Male,2473.5398333389267,1173.7630499588824,47.452765228950014,0.3027592622000531
Netherlands,2017,Under 40,Female,4.328011273512892,1.5078670876125364,34.83972181035135,0.29827942207156777
Netherlands,2017,Under 40,Male,9.149259171496343,1.883553128998584,20.58694691769817,7.759757327591592
Netherlands,2018,40 and above,Female,2141.4078406519716,996.3257069202796,46.52666755049047,1.9267471619576937
Netherlands,2018,40 and above,Male,2592.056847756395,1249.6012891065614,48.208868960114735,1.9009651867306254
Netherlands,2018,Under 40,Female,3.8728536021422895,1.4107544673878454,36.42674400621493,4.867075823955063
Netherlands,2018,Under 40,Male,9.045921664517143,1.901897151324393,21.02491290395132,10.052234623280645
Netherlands,2019,40 and above,Female,2121.416407945918,991.619966669463,46.74329674057762,2.401320344357892
Netherlands,2019,40 and above,Male,2601.699838500488,1253.845832415118,48.19333167725385,1.8681234264061268
Netherlands,2019,Under 40,Female,3.850176452664517,1.4081821255686569,36.57448282906939,5.292393506363815
Netherlands,2019,Under 40,Male,9.109951422336731,1.932966122286507,21.218182542083134,11.063879982212976
Netherlands,2020,40 and above,Female,2129.896903228125,994.5773458936604,46.696032300260825,2.297777346082904
Netherlands,2020,40 and above,Male,2550.6911491222745,1220.5179781057464,47.85048078148318,1.1434261259348877
Netherlands,2020,Under 40,Female,3.781890777179701,1.4009723014335866,37.04422956599356,6.64472317575941
Netherlands,2020,Under 40,Male,8.530953143429432,1.83528099211796,21.513199771018545,12.60811017451062
Netherlands,2021,40 and above,Female,2130.3165060563297,1000.7775247665598,46.97787966818191,2.9152250791959795
Netherlands,2021,40 and above,Male,2608.535967175902,1249.3533397652454,47.89480978933335,1.2371260774819786
Netherlands,2021,Under 40,Female,3.840808952587974,1.417129140214812,36.89663187386441,6.21981178732162
Netherlands,2021,Under 40,Male,8.233024491685724,1.7903972160631976,21.746530911832757,13.829452377977129
Nigeria,2015,40 and above,Female,20707.171469369463,10398.944409749136,50.219048145380455,0.0
Nigeria,2015,40 and above,Male,25995.25725863763,12003.82789553854,46.17699211862942,0.0
Nigeria,2015,Under 40,Female,221.62314823263517,117.39092415323266,52.9687106646499,0.0
Nigeria,2015,Under 40,Male,424.5604911664064,181.3527904350504,42.71541846411922,0.0
Nigeria,2016,40 and above,Female,21853.764824946295,11072.346065029536,50.66562285135575,0.8892536248048614
Nigeria,2016,40 and above,Male,26617.97367736791,12448.31415240066,46.7665732308726,1.2767854405253112
Nigeria,2016,Under 40,Female,228.6471280847772,121.7158734900522,53.23306463964099,0.4990757216363952
Nigeria,2016,Under 40,Male,440.51535722136686,190.22205698228515,43.1817083931299,1.091619714324856
Nigeria,2017,40 and above,Female,22795.74531985959,11690.730640554384,51.28470456444981,2.122016363162358
Nigeria,2017,40 and above,Male,27001.959216565596,12765.708659719145,47.276971857240014,2.382094822860543
Nigeria,2017,Under 40,Female,232.4001231317636,125.09965558130872,53.829427409718335,1.6249531738042846
Nigeria,2017,Under 40,Male,450.0754972814904,196.503330248328,43.660081794106,2.211527743267445
Nigeria,2018,40 and above,Female,23656.697556692136,12235.922183025636,51.72286686974308,2.9945185739267286
Nigeria,2018,40 and above,Male,27454.80743202851,13154.50175195815,47.91329090369885,3.7600950287295687
Nigeria,2018,Under 40,Female,233.69991750423864,126.72964349648676,54.22750887115237,2.376493954085543
Nigeria,2018,Under 40,Male,457.9591455658538,202.34913684864472,44.18497562672809,3.4403435935979285
Nigeria,2019,40 and above,Female,24557.002249782363,12803.715133109845,52.138754571410765,3.8226658945683325
Nigeria,2019,40 and above,Male,27868.313629301265,13483.49907183346,48.382902715924146,4.777077276119904
Nigeria,2019,Under 40,Female,237.89389715323597,129.63107832172813,54.49113233797171,2.8741905442260367
Nigeria,2019,Under 40,Male,462.48467839639096,206.26107333230783,44.59846627730304,4.408356235033901
Nigeria,2020,40 and above,Female,25459.44996282978,13444.154369416574,52.80614620129159,5.151627024912292
Nigeria,2020,40 and above,Male,28246.313943518733,13799.817229740564,48.855285179279136,5.800059591948167
Nigeria,2020,Under 40,Female,242.4167821339069,133.6873742977719,55.14773899767602,4.113802857731929
Nigeria,2020,Under 40,Male,471.0395200978972,212.2309008197589,45.05585874740413,5.479146330383895
Nigeria,2021,40 and above,Female,26640.464683899583,14202.261960276655,53.3108642390158,6.156660087791318
Nigeria,2021,40 and above,Male,28714.544892128382,14249.728202144965,49.62547118777874,7.467959498726389
Nigeria,2021,Under 40,Female,250.20844032572003,138.9527822647589,55.53481013025415,4.844557161019986
Nigeria,2021,Under 40,Male,484.2126890703191,220.32754426801367,45.502224382231525,6.524121776901737
United States of America,2015,40 and above,Female,50568.350426503435,30280.36167328963,59.8800661241648,0.0
United States of America,2015,40 and above,Male,68793.18739416644,42932.44671757874,62.407991755909464,0.0
United States of America,2015,Under 40,Female,400.88040057166035,151.64725688605054,37.82855352114988,0.0
United States of America,2015,Under 40,Male,649.0586857655369,211.36457391999755,32.56478629058051,0.0
United States of America,2016,40 and above,Female,51587.48352466097,31056.87215569311,60.20233985797471,0.5381986939387385
United States of America,2016,40 and above,Male,71640.54991521468,44839.95747069606,62.59019162159329,0.29194957337587274
United States of America,2016,Under 40,Female,428.88465157709015,164.14584288421324,38.27272491114286,1.174169638140262
United States of America,2016,Under 40,Male,690.2495804980704,223.38541097187505,32.36299119670374,-0.6196727105042859
United States of America,2017,40 and above,Female,52465.55742353209,31730.27098481073,60.478288124656274,0.999033633748879
United States of America,2017,40 and above,Male,74360.60299486195,46650.62364918384,62.735671538875536,0.5250606112237926
United States of America,2017,Under 40,Female,437.9085708325408,166.04897627187017,37.91864040390487,0.23814519554553182
United States of America,2017,Under 40,Male,711.0231937068886,230.8330306079712,32.46490869088717,-0.30670429955263084
United States of America,2018,40 and above,Female,52587.85515647061,31901.89937716014,60.664005562194546,1.309182652544511
United States of America,2018,40 and above,Male,76331.83323674816,47975.272250839414,62.850936780256504,0.7097568947251007
United States of America,2018,Under 40,Female,449.20947096235665,175.7254842763305,39.11882888396539,3.4108503834124217
United States of America,2018,Under 40,Male,739.0073266334942,244.75563750902216,33.11951433878098,1.7034598146923232
United States of America,2019,40 and above,Female,53255.363793470984,32403.134704331733,60.844828381970984,1.6111576360081081
United States of America,2019,40 and above,Male,79542.24250897454,50082.70682304677,62.96365961444458,0.8903793294750585
United States of America,2019,Under 40,Female,444.9648748339514,172.91533817563513,38.86044673529845,2.7278156791579273
United States of America,2019,Under 40,Male,775.0603692249695,259.3013667298672,33.45563481579617,2.7356191355486983
United States of America,2020,40 and above,Female,53784.9830110049,32784.33075826337,60.9544317445548,1.7941957815514848
United States of America,2020,40 and above,Male,80453.58232548602,50668.25064342789,62.97824059398936,0.9137432915807628
United States of America,2020,Under 40,Female,440.1574336151237,171.7402937191532,39.017924179675205,3.1441082140778973
United States of America,2020,Under 40,Male,768.9868908213766,257.6196295674761,33.501173120429314,2.8754582372913062
United States of America,2021,40 and above,Female,55139.78034307627,33651.832001533614,61.03004363121147,1.9204679979179147
United States of America,2021,40 and above,Male,82385.52939372988,51887.80048691,62.981692135438315,0.9192738996837331
United States of America,2021,Under 40,Female,422.8313927012197,164.42237241915217,38.886037143258186,2.7954640705917297
United States of America,2021,Under 40,Male,739.4703786633258,246.9303067088757,33.39285978638243,2.542849470630327
