location_name,year,age_group,sex_name,val_total,val_hbm,val_hbm_2015,percent_change_from_2015
India,2016,40 and above,Male,753775.5168945263,9450.307579423259,8934.956822955939,5.767803545992148
India,2016,Under 40,Female,6555.967847677971,177.73270668805955,170.53276678497232,4.222027261286245
India,2016,Under 40,Male,9352.39183023697,258.8820917270378,252.43889419828264,2.5523790813685885
India,2017,40 and above,Female,688688.8013795782,15535.031153457383,13266.183520739502,17.10248941732873
India,2017,40 and above,Male,782780.5824214898,10168.522920150295,8934.956822955939,13.806066684340813
India,2017,Under 40,Female,6680.982214305022,190.1522771575441,170.53276678497232,11.504833201533838
India,2017,Under 40,Male,9459.635494435364,270.7201395110973,252.43889419828264,7.241849704212103
India,2018,40 and above,Female,721786.002199173,16859.543368116934,13266.183520739502,27.086613431510308
India,2018,40 and above,Male,826245.4489282676,11058.299883926327,8934.956822955939,23.764446801970397
India,2018,Under 40,Female,6168.654316444234,182.82740328178494,170.53276678497232,7.209544962297558
India,2018,Under 40,Male,9310.40072190462,271.88204393598227,252.43889419828264,7.702121259661222
India,2019,40 and above,Female,735063.996903449,17767.969416790867,13266.183520739502,33.93429533832064
India,2019,40 and above,Male,853732.7584720333,11711.08481911966,8934.956822955939,31.07041311079664
India,2019,Under 40,Female,5951.379381376634,181.21158345344935,170.53276678497232,6.2620321418593585
India,2019,Under 40,Male,9096.131655434649,273.3910665513601,252.43889419828264,8.299898642647436
India,2020,40 and above,Female,730477.7286984863,18287.89695873494,13266.183520739502,37.85348989138294
India,2020,40 and above,Male,865464.082208368,12248.738020708122,8934.956822955939,37.087825530822094
India,2020,Under 40,Female,6197.520095297086,196.06312103537616,170.53276678497232,14.970937686477281
India,2020,Under 40,Male,9048.702436075226,279.3152867341285,252.43889419828264,10.64669238914322
India,2021,40 and above,Female,725340.1207384518,18706.672208758144,13266.183520739502,41.01020221462586
India,2021,40 and above,Male,867261.8821462719,12705.89061214166,8934.956822955939,42.20427545321018
India,2021,Under 40,Female,6337.323346017163,207.45786501593062,170.53276678497232,21.652787864233613
India,2021,Under 40,Male,9210.187653582903,289.03522220623296,252.43889419828264,14.49710359577359
Japan,2015,40 and above,Female,83967.72110673685,1067.7414934890262,1067.7414934890262,0.0
Japan,2015,40 and above,Male,95084.79080762703,1507.930660933793,1507.930660933793,0.0
Japan,2015,Under 40,Female,198.4366049204351,1.1139058711132888,1.1139058711132888,0.0
Japan,2015,Under 40,Male,433.98016028162067,11.949242738162152,11.949242738162152,0.0
Japan,2016,40 and above,Female,84206.80434462082,1083.5648460984012,1067.7414934890262,1.4819460240015114
Japan,2016,40 and above,Male,95092.264460371,1528.4550384671172,1507.930660933793,1.3610955772074047
Japan,2016,Under 40,Female,190.11467812604158,1.2140205924483694,1.1139058711132888,8.987718256213277
Japan,2016,Under 40,Male,430.0821713357626,12.324749287812908,11.949242738162152,3.1425133615497316
Japan,2017,40 and above,Female,84271.455078861,1096.6569936707608,1067.7414934890262,2.708099325357144
Japan,2017,40 and above,Male,95353.81226734493,1555.0869774376972,1507.930660933793,3.127220483381011
Japan,2017,Under 40,Female,181.5002970757573,1.0910406904009504,1.1139058711132888,-2.052703132759847
Japan,2017,Under 40,Male,424.33642075643706,12.762032712113253,11.949242738162152,6.802020778733568
Japan,2018,40 and above,Female,85088.05636176532,1127.6886103287015,1067.7414934890262,5.614384867987848
Japan,2018,40 and above,Male,95387.89388553466,1574.7473092992861,1507.930660933793,4.43101596754566
Japan,2018,Under 40,Female,186.1207150304976,1.1546303703084493,1.1139058711132888,3.6560090265489475
Japan,2018,Under 40,Male,412.19439088161033,12.930813348899564,11.949242738162152,8.214500552429001
Japan,2019,40 and above,Female,85694.45547981517,1158.506163164088,1067.7414934890262,8.500622128908091
Japan,2019,40 and above,Male,95636.86309202247,1602.7728532622893,1507.930660933793,6.2895592473572295
Japan,2019,Under 40,Female,175.8491108580575,1.2376234997805018,1.1139058711132888,11.106650200484529
Japan,2019,Under 40,Male,397.35221505628436,12.844403817282764,11.949242738162152,7.491362412964857
Japan,2020,40 and above,Female,83218.47577746831,1161.1710150606016,1067.7414934890262,8.750200506517603
Japan,2020,40 and above,Male,94832.97401244876,1617.808385280159,1507.930660933793,7.286656289508943
Japan,2020,Under 40,Female,174.7095528169605,1.366140670262162,1.1139058711132888,22.644175391299274
Japan,2020,Under 40,Male,389.3845367673231,13.111924482789542,11.949242738162152,9.730170941411604
Japan,2021,40 and above,Female,87621.16783782194,1255.726406471718,1067.7414934890262,17.605845059783086
Japan,2021,40 and above,Male,97592.93123226779,1680.9174135826345,1507.930660933793,11.471797552131386
Japan,2021,Under 40,Female,168.1438114285586,1.4443115376873603,1.1139058711132888,29.661901884388932
Japan,2021,Under 40,Male,375.2896230613505,13.508716552997358,11.949242738162152,13.050817102030521
Netherlands,2015,40 and above,Female,9155.043891335334,417.00739891998256,417.00739891998256,0.0
Netherlands,2015,40 and above,Male,7313.712110809612,335.9299354627136,335.9299354627136,0.0
Netherlands,2015,Under 40,Female,22.59890583187808,3.281374423758698,3.281374423758698,0.0
Netherlands,2015,Under 40,Male,22.772957430942334,1.805005199607477,1.805005199607477,0.0
Netherlands,2016,40 and above,Female,9242.662747313061,427.4115216329982,417.00739891998256,2.4949491879428307
Netherlands,2016,40 and above,Male,7361.332445560101,342.1852542952082,335.9299354627136,1.8620903266267264
Netherlands,2016,Under 40,Female,22.52719818783057,3.3246146825621894,3.281374423758698,1.3177483950143456
Netherlands,2016,Under 40,Male,20.342767736831586,1.6366674303210857,1.805005199607477,-9.326165338637171
Netherlands,2017,40 and above,Female,9018.393894189949,419.66642958944345,417.00739891998256,0.6376459209950656
Netherlands,2017,40 and above,Male,7267.141076003199,336.15953739258185,335.9299354627136,0.06834816002687641
Netherlands,2017,Under 40,Female,23.62109509972682,3.5101228714255392,3.281374423758698,6.971116920111118
Netherlands,2017,Under 40,Male,19.659040092385347,1.6352828238370343,1.805005199607477,-9.4028746181646
Netherlands,2018,40 and above,Female,8908.005672514932,413.9181717990331,417.00739891998256,-0.7408087072196683
Netherlands,2018,40 and above,Male,7225.355476338272,334.795372206651,335.9299354627136,-0.33773806270044376
Netherlands,2018,Under 40,Female,17.7314315688665,2.7758975166145508,3.281374423758698,-15.404426373420113
Netherlands,2018,Under 40,Male,19.914761549158076,1.7042930240617282,1.805005199607477,-5.579605840894529
Netherlands,2019,40 and above,Female,8697.91832844406,408.7573107836436,417.00739891998256,-1.9784032987678506
Netherlands,2019,40 and above,Male,7193.913436399623,333.0251310378692,335.9299354627136,-0.8647054394968757
Netherlands,2019,Under 40,Female,17.922893640396868,2.8101303511774214,3.281374423758698,-14.361179546267175
Netherlands,2019,Under 40,Male,19.543744464503035,1.711546061178491,1.805005199607477,-5.17777668725331
Netherlands,2020,40 and above,Female,8744.453291978201,409.757179307078,417.00739891998256,-1.738630928775386
Netherlands,2020,40 and above,Male,7173.607489061822,325.45399300032386,335.9299354627136,-3.118490303033004
Netherlands,2020,Under 40,Female,17.294291651591948,2.7296808752623467,3.281374423758698,-16.812880130406022
Netherlands,2020,Under 40,Male,18.045024386794736,1.6211338101948274,1.805005199607477,-10.186751232219992
Netherlands,2021,40 and above,Female,8684.0529830417,413.62633819240926,417.00739891998256,-0.8107915438263179
Netherlands,2021,40 and above,Male,7332.128142328328,334.0282265541644,335.9299354627136,-0.5661028410373059
Netherlands,2021,Under 40,Female,17.162061756074028,2.7436770147721217,3.281374423758698,-16.386347290738705
Netherlands,2021,Under 40,Male,17.757447247124627,1.6122156013866873,1.805005199607477,-10.680833399411503
Nigeria,2015,40 and above,Female,54570.12132716095,2529.686999155537,2529.686999155537,0.0
Nigeria,2015,40 and above,Male,71821.36645362365,2787.688350523302,2787.688350523302,0.0
Nigeria,2015,Under 40,Female,652.264479352827,33.840232004656876,33.840232004656876,0.0
Nigeria,2015,Under 40,Male,1166.5447136703858,51.47643968074003,51.47643968074003,0.0
Nigeria,2016,40 and above,Female,56358.3316348139,2690.112446722122,2529.686999155537,6.341711350856398
Nigeria,2016,40 and above,Male,72007.6773212143,2879.369627582081,2787.688350523302,3.288792200949188
Nigeria,2016,Under 40,Female,656.3181398304771,35.05559850808007,33.840232004656876,3.5914839568946797
Nigeria,2016,Under 40,Male,1181.5130563702771,53.649309917553076,51.47643968074003,4.221096583775643
Nigeria,2017,40 and above,Female,57789.78509642595,2852.6164989791714,2529.686999155537,12.765591155405206
Nigeria,2017,40 and above,Male,71934.10369385841,2974.4984582929196,2787.688350523302,6.701255100289459
Nigeria,2017,Under 40,Female,656.7447723475437,36.47368604058488,33.840232004656876,7.7820212212658735
Nigeria,2017,Under 40,Male,1192.1462168102657,56.23892413419646,51.47643968074003,9.251775147997114
Nigeria,2018,40 and above,Female,59349.65690150437,3002.165983784768,2529.686999155537,18.677369365733966
Nigeria,2018,40 and above,Male,72047.96199720069,3082.421197035988,2787.688350523302,10.572661268156436
Nigeria,2018,Under 40,Female,658.0533735733346,37.52921762708756,33.840232004656876,10.901183011756629
Nigeria,2018,Under 40,Male,1197.3709459243507,58.41536271579861,51.47643968074003,13.479803727868896
Nigeria,2019,40 and above,Female,60972.1156372764,3178.45340859229,2529.686999155537,25.64611391264316
Nigeria,2019,40 and above,Male,72300.5340765697,3193.874359588702,2787.688350523302,14.570710854000291
Nigeria,2019,Under 40,Female,664.5866766244413,39.0638861766489,33.840232004656876,15.436224465816837
Nigeria,2019,Under 40,Male,1199.174309465121,60.5932611509264,51.47643968074003,17.71066827218325
Nigeria,2020,40 and above,Female,62526.950904454556,3363.9790576540663,2529.686999155537,32.98005084332702
Nigeria,2020,40 and above,Male,72601.58162953728,3300.652049130694,2787.688350523302,18.401041799062632
Nigeria,2020,Under 40,Female,671.9229247193763,41.039615964127265,33.840232004656876,21.27462943658204
Nigeria,2020,Under 40,Male,1210.574109800416,63.63888731486451,51.47643968074003,23.627212195631074
Nigeria,2021,40 and above,Female,64682.97870528092,3582.2821007774824,2529.686999155537,41.60969724607527
Nigeria,2021,40 and above,Male,73025.52543795167,3473.2354620027436,2787.688350523302,24.591956678039413
Nigeria,2021,Under 40,Female,688.8638314477597,43.49332550862664,33.840232004656876,28.52549445477019
Nigeria,2021,Under 40,Male,1239.6667753182944,68.12746654924425,51.47643968074003,32.346889123985434
United States of America,2015,40 and above,Female,137671.59919485234,10494.23416606007,10494.23416606007,0.0
United States of America,2015,40 and above,Male,111811.08087593186,10408.393205335924,10408.393205335924,0.0
United States of America,2015,Under 40,Female,752.8418648688415,144.19641503428878,144.19641503428878,0.0
United States of America,2015,Under 40,Male,918.0244235705019,168.59540714239412,168.59540714239412,0.0
United States of America,2016,40 and above,Female,142055.6321447886,11004.035107168498,10494.23416606007,4.8579146704883
United States of America,2016,40 and above,Male,116533.31280971067,10994.985482585076,10408.393205335924,5.635762078515945
United States of America,2016,Under 40,Female,767.6625341799017,148.908002780377,144.19641503428878,3.2674791151831584
United States of America,2016,Under 40,Male,977.5603317206202,180.98998748972465,168.59540714239412,7.351671411109191
United States of America,2017,40 and above,Female,144725.7746183836,11402.943258576568,10494.23416606007,8.659127270624465
United States of America,2017,40 and above,Male,120146.9087370134,11475.08939058236,10408.393205335924,10.248423211947715
United States of America,2017,Under 40,Female,776.8139196258983,152.64825089282195,144.19641503428878,5.861335634816852
United States of America,2017,Under 40,Male,985.8493048984994,184.7429343304239,168.59540714239412,9.577679167969109
United States of America,2018,40 and above,Female,144948.26433225535,11582.713514350224,10494.23416606007,10.372165620340919
United States of America,2018,40 and above,Male,121899.72098952872,11734.712681423833,10408.393205335924,12.742787958932636
United States of America,2018,Under 40,Female,768.1491873828016,153.00656933185425,144.19641503428878,6.109828940941763
United States of America,2018,Under 40,Male,939.6876728715665,177.89496994796096,168.59540714239412,5.515905185787482
United States of America,2019,40 and above,Female,145282.36940030128,11692.077093724309,10494.23416606007,11.414295780994122
United States of America,2019,40 and above,Male,124528.21439059952,12023.90949608557,10408.393205335924,15.521284206686591
United States of America,2019,Under 40,Female,774.3879205520218,155.88240985671126,144.19641503428878,8.104220080397733
United States of America,2019,Under 40,Male,916.9024415708565,174.0385755413383,168.59540714239412,3.2285389567860117
United States of America,2020,40 and above,Female,145583.2390176985,11795.888386057313,10494.23416606007,12.403517964245433
United States of America,2020,40 and above,Male,124841.8137071978,12053.635251841599,10408.393205335924,15.806878295703047
United States of America,2020,Under 40,Female,757.8557340688062,154.01258463822873,144.19641503428878,6.807499064110399
United States of America,2020,Under 40,Male,926.1314982088244,176.31412826949483,168.59540714239412,4.578251126723486
United States of America,2021,40 and above,Female,148423.84235830343,12101.758659796042,10494.23416606007,15.318168703867377
United States of America,2021,40 and above,Male,129566.10995040569,12527.709638154734,10408.393205335924,20.361610010393637
United States of America,2021,Under 40,Female,721.1301491902806,147.56247063053917,144.19641503428878,2.334354564536136
United States of America,2021,Under 40,Male,878.9445790716584,167.94508815320845,168.59540714239412,-0.38572758309864535
